,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
82,O_301,"64,2",O,56.0,5261.0,Fijo,No,Silla móvil y mesa fija
83,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
84,SD_703,"140,9",Sd,65.0,1116.0,Fijo,Si,Silla móvil y mesa fija
85,ML_509,"85,4",ML,61.0,1613.0,Fijo,Si,Silla móvil y mesa fija
86,LL_108,"38,0",LL,36.0,5083.0,Movil,SI,Pupitre universitario
87,SD_801,"140,0",Sd,82.0,1110.0,Fijo,Si,Silla móvil y mesa fija
88,R_209,"172,1",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
89,AU_102,"62,6",Au,48.0,5602.0,Movil,Si,Mesa trapezoidal con silla móviles
90,O_405,"60,9",O,44.0,5271.0,Fijo,No,Silla móvil y mesa fija
91,ML_614,"109,6",ML,44.0,1627.0,Movil,SI,"Silla móvil, mesa móvil"
92,Z_104,"32,9",Z,32.0,nan,Movil,No,Pupitre universitario
93,PU_200,"32,8",Pu,32.0,nan,Movil,No,Pupitre universitario
94,O_303,"64,2",O,56.0,5263.0,Fijo,No,Silla móvil y mesa fija
95,M_100,"72,1",M,63.0,nan,Fijo,No,Silla móvil y mesa fija
96,AU_403,"46,6",Au,36.0,5633.0,Movil,Si,Mesa trapezoidal con silla móviles
97,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
98,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
99,AU_403,"46,6",Au,36.0,5633.0,Movil,Si,Mesa trapezoidal con silla móviles
100,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
101,ML_614,"109,6",ML,44.0,1627.0,Movil,SI,"Silla móvil, mesa móvil"
102,ML_608,"165,5",ML,117.0,1631.0,Fijo,Si,Silla móvil y mesa fija
