materia,nombre,creditos
ECON-4667,"PRONOST.EN ECON.FINANZ Y OTROS",4
ECON-4667C,"COMP.PRONOST.EN ECON.FIN YOTR",0
EDUC-1000A,"AMBIENT.APREND.A TRAVES HISTOR",3
EDUC-1001B,"CONSTRUCTIVISMO Y APRENDIZAJE",3
EDUC-1005B,"EDUCACION Y CIENCIA",3
EDUC-1010B,"FORMAC ETICA DEL PROFESIONAL",3
EDUC-1012A,"EL SENTIDO DE LA EDUCACION",3
EDUC-1017B,"APRENDER EN LA ERA DIGITAL",3
EDUC-1024,"TEORÍAS Y RETOS DEL APRENDIZAJ",3
EDUC-1025B,"INFANCIA Y CULTURA",3
EDUC-1033,"INTERCULTURALIDAD Y PROC EDUCA",3
EDUC-1102,"DESARROLLO Y EDUCACIÓN",3
EDUC-1103,"DIVERSIDAD Y APRENDIZAJE",3
EDUC-1104,"ARTE, JUEGO Y LITERATURA",3
EDUC-1200,"LAB AMBIENTES AP A TRAVES HIST",1
EDUC-1201,"LAB CONSTRUCTIVISMO Y APRENDIZ",1
EDUC-1301,"LAB TEORIAS Y RETOS APRENDIZAJ",1
EDUC-1302,"LAB DESARROLLO Y EDUCACIÓN",1
EDUC-2008,"DISEÑO DE INVESTIGACION II",3
EDUC-2102,"DISEÑO CURRICULAR",3
EDUC-2201,"PRÁCTICA FORMATIVA 1",4
EDUC-2202,"PRÁCTICA FORMATIVA 2",4
EDUC-3000,"PRACTICA PEDAGOGICA",4
EDUC-3201,"PRÁCTICA PROFESIONAL 1",10
EDUC-4017,"CURRICULO Y PEDAGOGIA",4
EDUC-4022,"TALLER DE REDACCION",0
EDUC-4025,"FUNDAMENTOS DE INVESTIGACIÓN E",4
EDUC-4027,"MÉTODOS CUALIITATIVOS DE INVES",4
EDUC-4036,"INVESTIGACIÓN- ACCIÓN",4
EDUC-4113,"ARTE, JUEGO Y LITERATURA",4
EDUC-4114,"DIVERSIDAD Y APRENDIZAJE",4
EDUC-4206,"TESIS 1",6
EDUC-4207,"TESIS 2",6
EDUC-4301,"EDUCACIÓN BILINGUE CONTEXTOS Y",4
EDUC-4408,"INVESTIGAR Y EVAL INNOVA EDUCA",4
EDUC-4606,"CONTEXTO EDUCATIVO COLOMBIANO",4
EDUC-4731,"EMOCIONES Y EDUCACIÓN",4
EDUC-4905,"EDUCACIÓN EN DERECHOS HUMANOS",4
EDUC-5300,"SEMINARIO DE INVES. - ACCIÓN",6
EDUC-6003,"COLOQUIO DE INVESTIGACIÓN  I",0
EDUC-6005,"COLOQUIO DE INVESTIGACION II",0
EDUC-6007,"COLOQUIO DE INVESTIGACION III",0
EDUC-6008,"COLOQUIO DE INVESTIGACION IV",0
EDUC-6009,"COLOQUIO DE INVESTIGACION V",0
EDUC-6010,"COLOQUIO DE INVESTIGACION VI",0
EDUC-6020,"LÓGICAS INVESTIG.EDUC.Y PEDAG.",4
EDUC-6027,"SEMIN.PENSANDO EDUCACION ED",0
EDUC-6028,"COLOQUIO INVESTIGACION VII",0
EDUC-6029,"SEM. TEORÍA SOCIAL Y EDUCACIÓN",4
EECO-5101,"MICROECONOMIA EE",2
EECO-5102,"METODOS CUANTITATIVOS EE",2
EECO-5219,"FORMULACIÓN DE PROYECTOS",1
EGOB-1100B,"INTRODUCCIÓN AL GOBIERNO",3
EGOB-1101B,"ETICA, JUSTICIA Y POL PUBLICAS",3
EGOB-1104,"INTRODUCCION A LA GESTIÓN PÚBL",3
EGOB-1105,"MÉTODOS CUALI PARA ASUNTOS PUB",3
EGOB-1106,"INTR. ASUNTOS PÚBLIC. GLOBALES",3
EGOB-1112B,"INTRO A LAS POLÍTICAS PÚBLICAS",3
EGOB-1206B,"SALUD GLOBAL",3
EGOB-1209B,"LIDERAZGO: TEORIA Y PRACTICA",3
EGOB-1211B,"EL DERECHO A LA CIUDAD: DIFERE",3
EGOB-2100,"POLÍTICA, GESTIÓN Y POLIT PUBL",3
EGOB-2101,"MÉTOD CUANTI PARA ASUNT PUB I",4
EGOB-2101C,"COMPL.METODOS CUANT.ASUNT.PUBL",0
EGOB-3004,"EVALUACIÓN DE POLÍTICAS PÚBL",3
EGOB-3006,"PRÁCTICA DE LA GESTIÓN PÚBLICA",3
EGOB-3112,"ANÁLISIS DE PROBLEMAS GLOBALES",3
EGOB-3113,"INTERNATIONAL DEVELOPMENT",3
EGOB-3114,"FINANZAS PUBLICAS Y PRESUPUEST",3
EGOB-3115,"COMPORT. Y POLITICAS PUBLICAS",3
EGOB-3116,"ANALISIS POLITICAS PUBLICAS",3
EGOB-3506,"IMPLEM. POLIT. PUBLIC.COLOMBIA",3
EGOB-4100,"SEMINARIO DE POSTGRADO I",0
EGOB-4103,"MICROECONOMÍA PARA ASUNTOS PÚB",4
EGOB-4104,"TECNICAS DE ANALISIS DE DATOS",4
EGOB-4109,"TÉCNICAS DE ANÁLISIS DATOS II",4
EGOB-4110,"SEMINARIO DE POSTGRADO II",0
EGOB-4111,"ANALISIS DE PROBLEMAS COLOMBIA",4
EGOB-4113,"SEMINARIO DE POSTGRADO III",0
EGOB-4117,"POLÍTICAS PÚBLICAS",4
EGOB-4118,"ESTRATEGIA Y LIDERAZGO EN LAS",4
EGOB-4201,"EVALUACION DE POLITICAS PUBL.",4
EGOB-4817,"CIUDAD REGIÓN, POLÍT. PÚBLICAS",4
EGOB-4822,"IMPLEM. POLIT. PUBLIC.COLOMBIA",4
EINT-1000,"COLOMBIA Y EL MUNDO",3
EINT-4201,"MÉTODOS DE INVESTIGACIÓN",4
EMAT-4801,"NOCIÓN DE CURRÍCULO EN MATEMÁT",4
EMAT-4802,"ANÁLISIS DE CONTENIDO",5
EMAT-4803,"ANÁLISIS COGNITIVO",4
EMAT-4804,"ANÁLISIS DE INSTRUCCIÓN",5
EMAT-4807,"ANÁLISIS DE LA PLANIFICACIÓN",4
EMAT-4808,"INFORME FINAL",5
FILO-1010,"INTRODUCCION A LA FILOSOFIA",3
FILO-1110B,ARISTOTELES,3
FILO-1120B,DESCARTES,3
FILO-1392A,"FILOSOFIA COMO ARTE DE VIVIR",3
FILO-1396B,"HAPPIN. AND CARE OF THE SELF",3
FILO-2000,"LOGICA 2",3
FILO-2110,HEGEL,3
FILO-2130,NIETZSCHE,3
FILO-2350B,"PENSAMIENTO POLITIC.COLOMBIANO",3
FILO-2530,"FILOSOFIA DEL LENGUAJE",3
FILO-3218,"LA HERMEN DE HEIDEGG A GADAME",3
FILO-3415,"TUCÍDIDES: POLÍTICA Y GUERRA",3
FILO-3417,"HANNAH ARENDT",3
FISI-1000,PREFISICA,3
FISI-1000C,"COMPL. PREFISICA",0
FISI-1002,"INTRODUCCION A FISICA",1
FISI-1003,"COLOQUIO 1 DE FISICA",1
FISI-1005,"COLOQUIO 2 DE FISICA",1
FISI-1012,"FISICA BASICA 1",3
FISI-1012C,"COMPL. FÍSICA BÁSICA 1",0
FISI-1018,"FISICA I",3
FISI-1018C,"COMPL. FÍSICA I",0
FISI-1022,"FISICA BASICA 2",3
FISI-1022C,"COMPL. FÍSICA BÁSICA 2",0
FISI-1028,"FISICA II",3
FISI-1028C,"COMPL. FÍSICA II",0
FISI-1038,"ONDAS Y FLUIDOS",3
FISI-1038C,"COMPL. ONDAS Y FLUIDOS",0
FISI-1048,"FISICA MODERNA",3
FISI-1048C,"COMPL. FÍSICA MODERNA",0
FISI-1060B,"SIGLO DE ORO DE LA FÍSICA",3
FISI-1090A,"COSMOS: EL UNIVERSO FISICO",3
FISI-1092A,"ENERGIA UNA PERSPECTIVA GLOBAL",3
FISI-1094B,"ENERGIAS ALTERNATIVAS",3
FISI-1096B,"ARMAS NUCLEARES",3
FISI-1098B,"EL LADO OSCURO DEL UNIVERSO",3
FISI-1801B,NANOTECNOLOGIA,3
FISI-1907B,"ASTRONOMIA PLANETARIA",3
FISI-1912B,"MUNDOS LEJANOS",3
FISI-1913B,"ASTROBIOLOGÍA: VIDA EN EL UNIV",3
FISI-1914,"TALLER DE ASTRONOMIA",1
FISI-2007,"METODOS MATEMATICOS",3
FISI-2040,"TERMODINAMICA (INGLES)",3
FISI-2051,"LABORATORIO INTERMEDIO",3
FISI-2350,"FISICA ATOMICA",3
FISI-2405,MECANICA,3
FISI-2432,"ELECTROMAGNETISMO 1 (INGLES)",3
FISI-2940,"ASTROFÍSICA EXTRAGALÁCTICA",3
FISI-3000,"PRACTICA DOCENTE FISICA",3
FISI-3010,"MECANICA CUANTICA I",3
FISI-3020,"MECANICA CUANTICA II",3
FISI-3040,"FISICA ESTADISTICA",3
FISI-3080,"TEORÍA DE LA INFO PARA FÍSIC",4
FISI-3094,"COSMOLOGIA MODERNA",4
FISI-3152,"FISICA DE PARTICULAS",3
FISI-3434,"ELECTROMAGNETISMO 2",3
FISI-3450,"OPTICA MODERNA",3
FISI-3760,"FISICA DEL ESTADO SOLIDO",3
FISI-3763,"INTRO. A DIFRACCIÓN DE RAYOS X",3
FISI-3767,"SUPERFLUIDOS, SUPERCONDUCTORES",3
FISI-3811,"NANOMATERIALES AVANZADOS",3
FISI-4010,"MECANICA CUANTICA AVANZADA 1",4
FISI-4040,"MECANICA ESTADISTICA",4
FISI-4051,"LABORATORIO AVANZADO",4
FISI-4080,"TEORÍA DE LA INFO PARA FÍSICOS",4
FISI-4401,"SEMINARIO DE OPTICA CUANTICA",3
FISI-4402,"SEMINARIO 2 DE OPTICA CUANTICA",3
FISI-4405,"MECANICA ANALITICA",4
FISI-4430,"ELECTRODINAMICA (INGLES)",4
FISI-4450,"OPTICA MODERNA",4
FISI-4811,"NANOMATERIALES AVANZADOS",4
GEOC-0000,INDUCCION,1
GEOC-0001,"NUCLEO GEOCIENCIAS",0
GEOC-1002,GEOCIENCIAS,3
GEOC-1022,GEOLOGIA,3
GEOC-1416B,"DINOSAURIOS (INGLES)",3
GEOC-1611B,"DESASTRES NATURALES",3
GEOC-2018,"GEOQUÍMICA",3
GEOC-2028,"MINERALES FORMADORES DE ROCAS",3
GEOC-2057,"MECANICA DEL CONTINUO (INGLÉS)",3
GEOC-3010,"MATEMA. Y ESTADIS. GEOCIENCIAS",3
GEOC-3038,"ESTRAT Y SEDIMENTOLOG (INGLÉS)",3
GEOC-3048,"SÍSMICA Y SISMOLOGÍA  (INGLÉS)",3
GEOC-3049,"LAB. SÍSMICA Y SISMOLOGÍA",1
GEOC-3050,"SEMINARIO DE GEOCIENCIAS",1
GEOC-3057,"GEODINÁMICA  (INGLÉS)",3
GEOC-3068,"SENS REMOT SIG Y GPS  (INGLÉS)",3
GEOC-3140,"DATA ANALYSIS GEOSC. (INGLÉS)",3
GEOC-3303,"GEOSTATISTICS  (INGLÉS)",3
GPUB-5604,"ACTIVIDAD ADMINISTRATIVA",4
GPUB-5605,"RESPONSABILIDAD DEL ESTADO",2
GPUB-5607,"CONTROL DE LA ADMON. PUBLICA",2
HART-1104A,"APRECIACIÓN DEL ARTE",3
HART-1105A,"EL ARTE EN LA HISTORIA DE OCCI",3
HART-1111A,"ARTE Y PAISAJE",3
HART-1130A,"HISTORIA DE LA FOTOGRAFIA",3
HART-1341B,"ARTE EN COLOMBIA",3
HART-1441B,"ARTE EN  AMERICA LATINA",3
HART-1500B,"ARTE ESPAÑOL",3
HART-1522B,"ARTE MEDIEVAL",3
HART-1523B,"VANGUARDIAS ARTÍSTICAS",3
HART-1603A,"ARTE PREHISPANICO",3
HART-2142,"HISTORIA DEL VIDEO",3
HART-2202,"DOCUMENTOS Y ARCHIVOS EN ARTE",3
HART-3140,"ARTE ABSTRACTO DESPUES II GM",3
HART-3532,"SEM IMPERIO ROMANO",3
HART-3990,"SEMINARIO TRABAJO DE GRADO",3
HIST-1101,"INTROD I: PROBLEM.CONOC.HIST.",3
HIST-1102,"INTROD II:CONCEPTOS HISTORICOS",3
HIST-1417B,"INTRODUCCION A LA GEOGRAFIA",3
HIST-2102,FUENTES.2.METOD.HISTORIA,3
HIST-2103,"HISTORIOGRAFIA DE COLOMBIA",3
HIST-2204A,"GEOGRAFIA DE COLOMBIA",3
HIST-2205A,"HISTORIA DE COLOMBIA",3
HIST-2300B,"HISTORIA COLONIAL COMPARADA",3
HIST-2302B,"AMERICA LATINA SIGLO XIX",3
HIST-2305B,"IMPERIOS DEL MUNDO ATLANTICO",3
HIST-2332A,"HISTORIA DE LAS COSAS",3
HIST-2412B,"HISTORIA DE LOS ESTADOS UNIDOS",3
HIST-2420A,"HISTORIA DE LA MEDICINA",3
HIST-2423,"EDAD MEDIA: HIST Y FILO",3
HIST-3103,"SEMINARIO DISEÑO DE PROYECTOS",3
HIST-3409,"S. PERSPECTIVAS HISTORIOGRAF.",3
HIST-3511,"SEM. HISTORIA DIGITAL",3
HIST-3514,"SEM. HISTORIA PÚBLICA",3
IBIO-1010,"INTRO. A LA ING. BIOMÉDICA",3
IBIO-1011,"LAB INTRO ING BIOMÉDICA",0
IBIO-1110,"PROGRAMA DE ACOMPAÑAMIENTO",0
IBIO-1701B,"EL HOMBRE ARTIFICIAL",3
IBIO-2099,"FISIOL. CUANTIT. ING. BIOMEDI1",3
IBIO-2099L,LAB.FISIOLOG.CUANTIT.ING.BIOM1,0
IBIO-2240,"PROGRAMACION CIENTIFICA",3
IBIO-2250,"FENÓMENOS DE TRANSPORTE BIOLÓG",3
IBIO-2650,BIOMATERIALES,3
IBIO-3160,BIOMECANICA,3
IBIO-3260,"MODELADO Y SIMULACIÓN SIST BIO",3
IBIO-3270,"DISEÑO DE EXP. Y BIOESTADÍSTIC",3
IBIO-3411,"TOPIC. SELEC. BIOTEC. MED.",3
IBIO-3560,"PROC.SEÑALES E INST. BIOMED.",3
IBIO-3680,"PROYECTO DE DISEÑO 1",3
IBIO-3801,"FUNDAMENTOS INGENIERIA CLINICA",3
IBIO-3870,"PROYECTO DE DISEÑO 2",3
IBIO-4217,"FISIOLOGÍA AVANZADA",4
IBIO-4217L,"LAB. FISIOLOGÍA AVANZADA",0
IBIO-4401,"BIOLOGIA AVANZADA",4
IBIO-4411,"DISEÑO MOLECULAR DE VACUNAS",4
IBIO-4501,"ANALISIS DE RITMOS CEREBRALES",4
IBIO-4680,"VISION POR COMPUTADOR",4
IBIO-4770,"SEMINARIO DE INVESTIGACIÓN",0
ICYA-1101,"INTROD. PROBLEMATIC. AMBIENTAL",3
ICYA-1101C,"COMPL INTROD PROBLEM AMBIENTAL",0
ICYA-1110,"QUIMICA AMBIENTAL",3
ICYA-1113,"INTRODUCCION A ING AMBIENTAL",3
ICYA-1113C,"COMPL INTRO A ING AMBIENTAL",0
ICYA-1114,"INTRODUCCION A ING CIVIL",3
ICYA-1114C,"COMPL INTRO A ING CIVIL",0
ICYA-1116,ESTATICA,3
ICYA-1116C,"COMPL ESTATICA",0
ICYA-1117,"MECANICA DE MATERIALES",3
ICYA-1117C,"COMPL. MECANICA DE MATERIALES",0
ICYA-1122,"MATERIALES EN INGENIERIA CIVIL",3
ICYA-1125,"GEOMÁTICA",3
ICYA-1200A,"GRAND. PROY. HIST. HUMA",3
ICYA-1500B,"TRANSPORTE URBANO SOSTENIBLE",3
ICYA-2001,"MODELACION Y ANALISIS NUMERICO",3
ICYA-2001C,"COMPL MODEL Y ANALISIS NUM",0
ICYA-2101,"TERMOQUIMICA AMBIENTAL",3
ICYA-2101C,"COMPL TERMOQUIMICA AMBIENTAL",0
ICYA-2203,"ANALISIS SIST. ESTRUCTURALES",3
ICYA-2304,"FUNDAMENTOS DE GEOTECNIA",3
ICYA-2401,"MECANICA DE FLUIDOS",3
ICYA-2401C,"COMPL MECANICA DE FLUIDOS",0
ICYA-2402,HIDRAULICA,3
ICYA-2402C,"COMPL HIDRAULICA",0
ICYA-2406,POTABILIZACION,3
ICYA-2407,"MICROBIOLOGIA AMBIENTAL",3
ICYA-2412,"MECÁNICA DE FLUIDOS AMBIENTAL",3
ICYA-2412C,"COMPL MECANICA FLUIDOS AMBIENT",0
ICYA-3078,"PROY. FINAL DISEÑO ING.CIVIL",3
ICYA-3079,"PROY. FINAL DISEÑO ING. AMB.",3
ICYA-3079C,"COMPL PROY FINL DISEÑO ING AMB",0
ICYA-3107,"PRERREQUISITO PROYECTO IAMB",0
ICYA-3108,"PRERREQUISITO PROYECT. ICIV",0
ICYA-3202,"DISEÑO ESTRUCTURAL",3
ICYA-3202C,"COMPL DISEÑO ESTRUCTURAL",0
ICYA-3203,"GERENCIA PROY CONSTRUCCION",3
ICYA-3305,"ESTRUCTURAS GEOTECNICAS",3
ICYA-3306,"SISTEMAS DE TRANSPORTE",3
ICYA-3306L,"LAB SISTEMAS DE TRANSPORTE",0
ICYA-3307,"DISEÑO DE VIAS",3
ICYA-3307C,"COMPL DISEÑO DE VIAS",0
ICYA-3401,HIDROLOGIA,3
ICYA-3401C,"COMPL HIDROLOGIA",0
ICYA-3406,"MODELACION AMBIENTAL",3
ICYA-3408,"TRATAMIENTO AGUAS RESIDUALES",3
ICYA-3408L,"LAB TRATAMIENTO AGUAS RESIDU",0
ICYA-3501,"CALIDAD DEL AIRE Y METEOROLOGI",3
ICYA-3501L,"LAB CALIDAD DEL AIRE Y METEORO",0
ICYA-3601,"EVALUACION Y AUDITOR.AMBIENTAL",3
ICYA-3702,"RESIDUOS SOLIDOS",3
ICYA-4106,"BIODIVERSIDAD COLOMBIANA",4
ICYA-4108,"NANOTEC. AMB: IMPLIC. Y APLIC.",4
ICYA-4111,"RESIDUOS PELIGROSOS",4
ICYA-4126,"ANÁLISIS RIESGO QUIM. MICROBIO",4
ICYA-4138,"HIDROLOGIA URBANA",4
ICYA-4140,"VARIABILIDAD YCAMBIO CLIMATICO",4
ICYA-4206,"PROPUESTA DE TESIS GERENCIA",0
ICYA-4212,"PROPUESTA TESIS MICIV",0
ICYA-4216,"PROPUESTA DE TESIS MIAMB",0
ICYA-4290,"PROPUESTA PROY. GRADO GERENCIA",0
ICYA-4291,"PROPUESTA PROY. GRADO ESTRUCTU",0
ICYA-4293,"PROYECTO GRADO ESTRUCTURAS",4
ICYA-4301,"ADMON PROYECTO CONSTRUC",4
ICYA-4302,"PLANIF. CONSTR. LEAN CONSTRUCT",4
ICYA-4303,"SEMIN.PROYECTOS DE INFRAESTRUC",4
ICYA-4306,"ASPECTOS LEGALES CONSTRUC.",4
ICYA-4318,"CONSTRUCCIÓN SOSTENIBLE: HERRA",4
ICYA-4320,"GERENCIA PROY. INMOBILIARIOS",4
ICYA-4327,"PLANIF. PROY. INFRAESTRUCTURA",4
ICYA-4350,"NIV. ING. GERENC. CONSTRUCCION",3
ICYA-4401,"COMPRT DINAMICO DE ESTRUCTURAS",4
ICYA-4410,"COMP Y DISEÑ ESTUCT DE ACERO",4
ICYA-4414,"MODELACION CON ELEMENTOS FINIT",4
ICYA-4449,"DISE - BASICO  DE ACERO",4
ICYA-4450,"DISEÑO Y COMP. ESTRUC. CONC.",4
ICYA-4501,"PROP. FISIC. SUEL. MECAN. ROCA",4
ICYA-4502,"TALLER HERRAM. EXPERIMENTALES",4
ICYA-4504,"TALLER DE DISEÑO CIMENTACIONES",4
ICYA-4602,"DISEÑO AVANZADO DE PAV.",4
ICYA-4606,EVAL.DIAG.CONS.PAVIMENTOS,4
ICYA-4608,"MATERIALES ASFÁLTICOS",4
ICYA-4611,"ANÁLISIS DE RIESGO",4
ICYA-4701,"DISEÑO EN ING HIDRAULICA",4
ICYA-4716,"MODEL. FLUJO Y CONT. ACUI.",4
ICYA-4717,"HIDRAULICA DE RIOS",4
ICYA-4801,"ANAL. SISTEMAS DE TRANSPORTE",4
ICYA-4809,"TRANSPORTE INTERURBANO D CARGA",4
ICYA-4810,"SEGURIDAD VIAL",4
IELE-1000,"INTR. A LA INGENIERIA ELECTR.",3
IELE-1000C,"COMPL INTR. INGENIERIA ELECTR",0
IELE-1002,"FUNDAMENTOS DE CIRCUITOS",3
IELE-1006,"FUNDAMENTOS DE CIRCUITOS",4
IELE-1010,"CIRCUITOS E INSTRUMENTACION",3
IELE-1080,"TUTORIA IEE",0
IELE-1400,"FUNDAMENTOS DE REDES",3
IELE-1502,"SISTEMAS DINÁMICOS",3
IELE-1999,"PLANEACION ACADEMICA",0
IELE-2000,"ANALISIS Y SINTESIS CIRCUITOS",1
IELE-2002,"TEORÍA ELECTROMAGNÉTICA",3
IELE-2002C,"COMPL TEORIA ELECTROMAGNETICA",0
IELE-2009,"COMPUTACION CIENTIFICA EN IEE",3
IELE-2010,"MATERIALES PARA IEE",3
IELE-2042B,"TECNOLOGÍA DE IRONMAN",3
IELE-2100,"ELEMENT.SISTEMAS ELECTRICOS",3
IELE-2206,"FUNDAMENTOS DE ELECTRÓNICA",3
IELE-2210,"SISTEMAS ELECTRONICOS DIGITALE",3
IELE-2300,"ANALISIS DE SISTEMS DE CONTROL",3
IELE-2402,COMUNICACIONES,3
IELE-2500,"SEÑALES",3
IELE-3000,"SEMINARIO PROYECTO DE GRADO",0
IELE-3006,OPTIMIZACION,3
IELE-3108,"TALLER DE SISTEMAS DE POTENCIA",3
IELE-3110,"ECONOMIA SISTEMAS DE POTENCIA",3
IELE-3135,"AUTOMAT SISTEMAS DISTRIBUCION",3
IELE-3138,"SIST. ELECTRICOS INDUSTRIALES",3
IELE-3152,"REDES INTELIGENTES",3
IELE-3200,"ELECTRÓNICA ANÁLOGA",3
IELE-3206,"INSTRUMENTACION ELECTRONICA",3
IELE-3330,"TALLER DE CONTROL",3
IELE-3338,ROBOTICA,3
IELE-3430,"TALLER DE COMUNICACIONES",3
IELE-4000,"SEMINARIO MAGÍSTER",0
IELE-4001,"SEMINARIO MAGÍSTER 1",0
IELE-4002,"SEMINARIO MAGÍSTER 2",0
IELE-4009,"SIST. LINEALES MULT. VARIABLES",4
IELE-4010,"PROCESOS ESTOCASTICOS",4
IELE-4014,"MACHINE LEARNING",4
IELE-4100,"PLANEAMIENTO SISTEMAS POTENCIA",4
IELE-4102,"CONTROL ESTABILI SIST POTENCIA",4
IELE-4204,"PPIOS BASICA DE NANOTECNOLOGIA",4
IELE-4313,"APREND.Y EVOL. ORIENT.CONTROL",4
IELE-4412,"RF FRONT-END 5G",4
IELE-4429,"TÉCNIC BANDA ULTRA ANCHA (UWB)",4
IELE-4801,"GERENCIA AVANZADA DE PROYECTOS",4
IGEN-1101A,"TECNOLOGIA Y SOCIEDAD",3
IGEN-1102B,"TECNOLOGIA Y GLOBALIZACION",3
IGEN-1104A,"HISTORIA DE LA TECNOLOGIA",3
IGEN-1115B,"TECNOCULTURAS EN AMÉRICA LATIN",3
IGEN-2007B,"CIENCIA,TECNOLOGÍA,INNOVACIÓN",3
IIND-1000,"INTROD. INGEN. INDUSTRIAL",3
IIND-1001,"PROGRAMA DE ACOMPAÑAMIENTO",0
IIND-1003,"CLINICA DE PROBLEMAS (IIND)",0
IIND-2103,"PRINCIPIOS OPTIMIZACION",3
IIND-2103C,"REFUERZO PRINCIPIOS OPTIMIZAC.",0
IIND-2104,"MODELOS PROBABILISTICOS",3
IIND-2106,"PROBABILIDAD Y ESTADÍSTICA I",3
IIND-2106C,"REFUERZO PROBA Y ESTAD I",0
IIND-2107,"PROBABILIDAD Y ESTADISTICA II",3
IIND-2109,"SISTEMAS APOYO A LA DECISION",3
IIND-2109C,"REFUERZO SIST. APOYO DECISION",0
IIND-2201,"CONTROL DE PRODUCCION",3
IIND-2202,"FUNDAMENTOS DE PRODUCCION",3
IIND-2301,"DINAMICA DE SISTEMAS",3
IIND-2302,"PENS SISTEMICO ORGANIZACIONES",3
IIND-2302C,"COMPL. PENS SISTE ORGANIZACION",0
IIND-2400,"SIST. DE CONTROL GERENCIAL",3
IIND-2401,"ANALIS.DECISION INVERSION",3
IIND-3000,"PROYECTO DE GRADO 1",0
IIND-3001,"PROYECTO DE GRADO 2",3
IIND-3006,"PROYECTO INTERMEDIO",3
IIND-3107,"ING. DE MERCADEO",3
IIND-3113,"SIMULAC. EVENTOS DISCRETOS",3
IIND-3202,"GERENCIA DE PRODUCCION",3
IIND-3208,"DES. AVANZADO DE NUEVOS PROD.",3
IIND-3218,"FUNDAMENTOS DE LA CALIDAD",3
IIND-3221,LOGISTICA,3
IIND-3301,"SISTEMAS PUBLICOS",3
IIND-3309,"RELACIONES INDUSTRIALES",3
IIND-3311,"ESTRATEGIA ORGANIZACIONAL",3
IIND-3312,"EMPREND.INNOVAC.EN INGE",3
IIND-3400,FINANZAS,3
IIND-3402,"VALORACION DE EMPRESAS",3
IIND-4005,"SEMINARIO DE INVESTIGACION",0
IIND-4100,"MODELOS ESTADIST.LINEALES",4
IIND-4101,"OPTIMIZACION AVANZADA",4
IIND-4102,"METOD.ESTADISTICOS MULTIVAR.",4
IIND-4110,"TUTORIAL INV.OPERACIONES",4
IIND-4125,"OPTIMIZACIÓN BAJO INCERTIDUMBR",4
IIND-4126,"MODE PREDIC SIST BAJO INCERTID",4
IIND-4200,"MODELOS CONTROL PRODUCC.",4
IIND-4213,"DISEÑO DE EXPERIM. INGE.",4
IIND-4215,"CONTROL DE CALIDAD AVANZADO",4
IIND-4223,"PROCESOS SISTEMAS MANUFACTURA",4
IIND-4301,"PENSAMIENTO SISTEMICO CRITICO",4
IIND-4305,"SEMINARIO DE COMPLEJIDAD",4
IIND-4317,"TUTORIAL DIREC. Y GESTION",4
IIND-4337,"SIMUL.BASADA AGENTES (SIMBA)",4
IIND-4403,"TEORIA DE LA DECISION",4
IIND-4406,"GERENCIA FINANCIERA DEL RIESGO",4
IIND-4414,"INGENIERÍA FINANCIERA",4
IMEC-1000,INTRODUCC.INGEN.MECANICA,3
IMEC-1000C,"COMPL.INTRODUCCION IMEC",0
IMEC-1001,"FUNDAMENTOS DE EXPERIMENT.",3
IMEC-1001L,"LABORATORIO DE FUNDAMENTOS",0
IMEC-1330,"TERMODINÁMICA",3
IMEC-1330L,"LABORATORIO TERMODINÁMICA",0
IMEC-1410,"CIENCIA DE MATERIALES",3
IMEC-1410L,"LABORAT.DE CIENCIA MATERIALES",0
IMEC-1503,"DISEÑO GRAFICO EN INGENIERÍA",3
IMEC-1503C,"COMPL.DISEÑO GRÁFICO INGEN",0
IMEC-1541,"MECANICA DE SOLIDOS RIGIDOS",3
IMEC-1541L,"LABORATORIO MEC SOL RIGIDOS",0
IMEC-1700,"SEMINARIO GIAP",0
IMEC-1800,"SEM. MECANICA COMPUTACIONAL",0
IMEC-2210,"MECANICA FLUIDOS",3
IMEC-2210L,"LABORATORIO MECANICA FLUIDOS",0
IMEC-2320,TRANSFERENC.CALOR,3
IMEC-2320L,"LAB TRANSFERENCIA DE CALOR",0
IMEC-2411,"INGENIERÍA DE MATERIALES",3
IMEC-2411L,"LAB. INGENIERIA DE MATERIALES",0
IMEC-2520,"MECÁNICA SÓLIDOS DEFORMABLES",3
IMEC-2520L,"LABORATORIO MEC. SÓL. DEFORMAB",0
IMEC-2540,"DINAMICA SISTEM.MECAN.(INGLES)",3
IMEC-2540L,"LAB. DINAMICA SISTEM.MECANICOS",0
IMEC-2543,"DINAMICA DE MAQUINARIA",3
IMEC-2543L,"LAB DINAMICA DE MAQUINARIA",0
IMEC-2700,"PROYECTO INTERMEDIO",3
IMEC-3345,"SISTEMAS CONVERSION DE ENERGIA",3
IMEC-3345L,"LAB DE SIST DE CONV DE ENERGIA",0
IMEC-3460,"SISTEMAS DE MANUFACTURA",3
IMEC-3460C,"COMPL.SISTEMAS DE MANUFACTURA",0
IMEC-3530,"DISEÑO DE SISTEMAS MECANICOS",3
IMEC-3530C,"COMPL.DISEÑO SIST MECANICOS",0
IMEC-3700,"SEMINARIO PROYECTOS",0
IMEC-4000,"TECNICAS DE EXPERIMT. E INSTRU",4
IMEC-4116,"MECÁNICA MATERIALES COMPUESTOS",4
IMEC-4200,"MECANICA DE FLUIDOS AVANZADA",4
IMEC-4423,"ANALISIS FALLA SIST. MECANICOS",4
